excellent	net	netDmg	damage_dealt	QLStats	sNet	sgNet	aNet	alias	games
2.81	-6.57	345.49	7679.45	-242.31	-0.33	0.21	-0.08	t000	806.0
7.0	2.0	4081.69	12907.86	396.24	0.5	1.13	-0.08	ziKo^6.^7	1.0
3.0	-22.99	1221.61	10019.78	-45.32	0.09	0.49	-0.08	X^4!^7u	1.0
0.75	-37.49	-3040.77	4405.59	-689.99	-0.76	-0.39	-0.09	Mike_Litoris	4.0
0.0	-37.99	-2901.07	3281.95	-784.98	-1.12	-0.32	-0.09	NikolaKG80	1.0
3.33	3.0	1484.69	8160.38	-186.61	-0.49	0.4	-0.09	^1D^4OO^1M^7a™	6.0
3.08	2.92	2176.3	9176.82	-33.16	-0.23	0.42	-0.09	waters	13.0
3.2	-8.4	285.98	7089.49	-307.06	-0.24	0.19	-0.09	modus	10.0
0.0	-39.74	-4368.1	2206.79	-777.2	-0.91	-0.36	-0.1	Gabrielius	4.0
3.61	15.5	2522.61	8609.89	251.95	-0.08	0.54	-0.1	vuduu	41.0
2.0	-26.99	-1728.45	6718.84	-568.95	-0.45	0.09	-0.1	^1sory^7	1.0
4.5	-4.25	1813.92	8889.65	-152.52	-0.29	0.33	-0.1	Mayh	4.0
2.04	-8.35	-188.94	7292.56	-352.05	-0.44	0.24	-0.11	woo	76.0
4.5	7.83	2219.62	8420.96	175.9	0.19	0.68	-0.11	ten	6.0
0.0	-14.0	399.87	6673.86	-487.71	-0.96	0.08	-0.11	Jesus	1.0
2.57	3.98	2386.08	8449.68	-37.22	-0.44	0.31	-0.11	ridgewater	60.0
2.14	-33.34	-1704.41	6238.7	-591.72	-0.71	-0.01	-0.11	namemane	14.0
2.0	-18.99	-206.93	7893.47	-150.83	0.0	0.33	-0.11	dck	3.0
3.0	3.0	1235.6	8424.3	-255.98	-0.44	0.34	-0.12	c00L	1.0
2.17	-22.83	-289.41	7447.11	-325.45	-0.31	0.13	-0.12	kartmanio	6.0
2.0	4.57	741.4	6037.26	-294.4	-0.61	0.21	-0.12	cityy	9.0
5.0	5.0	1122.64	8223.36	-115.11	-0.14	0.29	-0.13	Endreo	1.0
2.4	-5.25	543.86	7213.56	-193.57	-0.24	0.24	-0.13	ΛятΞᴍIs4	63.0
1.67	-6.33	-498.84	5200.66	-506.4	-0.76	-0.0	-0.13	leave myname unspoken	3.0
2.0	2.0	-136.96	5683.18	-581.87	-1.01	-0.07	-0.13	::MiA::	1.0
1.57	-35.56	-2693.14	6839.95	-566.23	-0.56	0.14	-0.14	Vitur	7.0
2.5	-11.0	-645.13	6185.35	-412.18	-0.51	0.12	-0.14	Caddy	6.0
0.67	-3.67	-648.13	5379.94	-380.48	-0.51	0.13	-0.14	LeopolD	3.0
3.92	9.74	1895.37	8077.7	29.66	-0.13	0.43	-0.14	prodigy	11.0
2.0	-18.99	-709.77	6797.82	-492.05	-0.69	-0.21	-0.14	meskalin	1.0
7.0	19.99	2877.08	9063.09	215.19	0.3	0.83	-0.14	polterizer	1.0
0.0	-27.99	-2075.33	5200.33	-605.72	-0.41	-0.02	-0.14	Toa	1.0
1.0	-24.99	-1941.38	5596.2	-559.67	-0.58	0.13	-0.14	^1VK ^7Lv4Hell	1.0
3.0	-21.99	-202.93	6701.85	-456.18	-0.5	0.33	-0.14	Kentios	1.0
0.0	-30.99	-4105.68	4174.66	-680.24	-0.39	-0.0	-0.14	ovEr	1.0
2.42	-12.08	-126.24	7489.46	-279.84	-0.35	0.15	-0.14	^5sco^3rp^7	1089.0
1.4	-21.94	-724.11	7429.72	-348.77	-0.32	0.22	-0.15	^7^4hav^7	10.0
1.0	-43.99	-2532.19	6335.97	-676.03	-0.96	0.01	-0.15	^6 53RZJ^70^6!^7	1.0
2.38	-4.72	729.94	7474.79	-191.78	-0.34	0.27	-0.15	clueless	29.0
