steam_id	aWin	SE	games	alias
76561198044092026	-0.46	2.37	1.0	s!Roj
76561198166974810	-0.46	0.12	614.0	x40
76561198286173236	-0.46	0.32	59.0	derzkaya
76561198125710191	-0.46	2.41	1.0	^2`^7`^3`^7
76561198079031282	-0.47	1.08	5.0	^1AA  ^7Arices
76561198027167951	-0.47	2.38	1.0	ٰ
76561197991668725	-0.47	2.38	1.0	lazyga
76561199033728484	-0.47	2.36	1.0	D4Rk^1FF!^7
76561198045504172	-0.47	0.18	257.0	Felony
76561198314080722	-0.48	0.73	11.0	Pumpkin60LG
76561198208559676	-0.48	1.74	2.0	Syst3m
76561198258457836	-0.48	0.67	14.0	0oSundanceo0
76561198258228494	-0.48	0.23	126.0	^4[^1pvn^4]^6::^3The Reliable^7
76561198092313801	-0.48	0.34	54.0	shakey
76561198054431396	-0.5	2.36	1.0	spid
76561198067064946	-0.5	1.07	5.0	Steve Jobs
76561198089688309	-0.5	2.36	1.0	daraz69
76561198155205821	-0.5	2.74	1.0	^1^^7RoMe^7
76561198934401754	-0.51	1.68	2.0	aurin
76561198050188080	-0.51	2.42	2.0	Vieudebris
76561198271338805	-0.51	1.38	3.0	^2vahue^7
76561197985597767	-0.51	1.72	2.0	t0ne
76561198008874287	-0.52	1.18	1.0	有很多小电影一起看看
76561197963918937	-0.53	2.39	1.0	Bailey
76561198024637877	-0.53	1.66	2.0	GGSh0w
76561198027215543	-0.54	2.36	1.0	^1ЯƟVƖ^7ɌUƁƖ
76561198007541496	-0.55	1.19	4.0	raw
76561198257403817	-0.55	1.68	2.0	cleaner_le_magnifique
76561198301153328	-0.55	0.6	19.0	sick^2.^7 KOPFAB
76561198118249863	-0.56	1.14	2.0	dvx
76561197999091423	-0.56	0.72	11.0	ARES
76561198031260045	-0.56	2.36	1.0	^1Donne^2Moi^3Ta^4CHATTE^7
76561198157330158	-0.56	1.74	2.0	Ra_BufK
76561198179163925	-0.56	1.85	2.0	def
76561197975424969	-0.58	0.69	12.0	sh@dy
76561198050090833	-0.58	0.91	8.0	oi
76561198043115609	-0.58	2.36	1.0	czang
76561198061566087	-0.59	1.19	4.0	^1fr^74^1nz^7
76561198257437671	-0.59	1.68	2.0	^^0Wood^7
76561198022916945	-0.59	2.39	1.0	sciencepool
76561198037564581	-0.59	2.5	1.0	eki22
76561199123746085	-0.6	1.67	2.0	opt1k
76561197992251402	-0.6	2.57	1.0	kingpin1
76561198156073276	-0.6	0.98	6.0	I♛könig♛I Venish
76561198069518871	-0.6	1.7	2.0	vloeii
76561198086315854	-0.6	0.73	11.0	siggma
76561199001714968	-0.61	1.74	2.0	f^4oo ^7t^4o^7p^4e^7k
76561198080608892	-0.62	0.29	72.0	Mannox
76561197978556104	-0.63	2.37	1.0	.BaNaNa_
76561198261304663	-0.63	2.38	1.0	hurtycz
76561198000189725	-0.65	1.67	2.0	ben9.9
76561198256176051	-0.65	1.06	5.0	sombre
76561198251690480	-0.69	1.68	2.0	saDas
76561198211489571	-0.7	0.69	12.0	devknof
76561197995300975	-0.7	0.62	15.0	MusHRooM
76561198449625705	-0.71	1.2	4.0	s0nax
76561198139439909	-0.72	1.07	5.0	g3st4p
76561198285213013	-0.72	1.19	4.0	^^0sin^2ner^7
76561198994704226	-0.72	0.23	139.0	thomassonvaldemar
76561198257169571	-0.72	0.69	12.0	Adio
76561198450700371	-0.73	2.39	2.0	lack
76561197995862741	-0.74	1.67	2.0	sn1
76561198102771176	-0.74	1.18	4.0	Big Tasty
76561198120003322	-0.74	0.67	15.0	JunkZ
76561199175715250	-0.75	0.81	9.0	syrius
76561198256622096	-0.77	2.37	1.0	FatBear
76561198257307626	-0.77	0.73	11.0	SVΛRSCHIK
76561198127617966	-0.77	2.42	1.0	jpl1469
76561198240378464	-0.77	0.38	42.0	siXsiXsix
76561197976530588	-0.78	1.85	2.0	cippi
76561197961164699	-0.78	0.9	7.0	twitch.tv/doubledigital_
76561198027965641	-0.78	1.4	3.0	cup1d
76561198255020427	-0.79	0.41	35.0	Thain
76561198005046928	-0.79	1.67	2.0	kaliberr44
76561198001027360	-0.81	0.43	33.0	fury/ffs
76561198395910383	-0.82	0.57	19.0	A1
76561197981535721	-0.83	3.76	2.0	NeOnLeMoN
76561198001010903	-0.83	1.01	6.0	WAR HOG (OUT OF HEDGE)
76561198165352013	-0.83	2.56	1.0	^3syd666^7
76561198298756066	-0.85	1.01	6.0	VaNeK
76561199047888807	-0.85	0.18	281.0	vcxyvcxy2
76561198013811463	-0.87	0.76	11.0	Kekpin
76561198155425701	-0.88	0.48	26.0	Rainbow_Crab
76561198021415974	-0.88	1.22	4.0	Kisde
76561198068047395	-0.89	0.49	26.0	flfeelings
76561198156511395	-0.93	0.7	12.0	Karby
76561198036206965	-0.97	1.36	3.0	octaveq
76561197961644723	-0.98	1.36	3.0	^4e^5Q^7|^5a^4d^5a^4mmmmmmm^7
76561198257368839	-1.02	1.23	4.0	lollo2mygod
76561198237293132	-1.02	0.63	15.0	BANANMANX47
76561198261482853	-1.03	1.68	2.0	deflax
76561198846847646	-1.04	1.19	4.0	orphenq3
76561198355413498	-1.04	0.76	10.0	thylmanoid
76561198028526896	-1.05	1.06	5.0	^5T^7rilo
76561198964102618	-1.05	2.41	2.0	^4michal^7
76561198013287426	-1.06	1.37	3.0	154smg
76561199044212882	-1.06	0.88	8.0	Amitra
76561198258352053	-1.08	0.25	114.0	l0l04
76561198155477003	-1.08	0.25	124.0	NADE^2MAFIA ^5MaJiN^7loves^6Madi^7
76561198064218291	-1.09	1.26	4.0	Spyros
76561198045773077	-1.12	1.36	3.0	Commander Pasta
76561198121842688	-1.17	0.41	36.0	^1t^3oñ^2o^7
76561199017957023	-1.19	1.1	5.0	optimist
76561197980728727	-1.2	1.36	3.0	^3[▲] ^1Red^3bird^171^7
76561198272768847	-1.2	0.98	6.0	Igor Letov
76561198257762228	-1.34	0.91	7.0	^6H^7ojo^6M^7e
76561199040556789	-1.34	0.86	8.0	^1H^3i^1E^7
76561198072509717	-1.39	1.11	5.0	GOOGL3
76561198050167011	-1.43	1.18	4.0	Der Kommunist
76561198261027858	-1.43	1.07	5.0	xcarstenx
76561198256505513	-1.45	0.47	28.0	^4Sla^7Y^4eR^7
76561198030450818	-1.54	0.76	11.0	crazy-lazy
76561198161961071	-1.59	0.98	6.0	andrasrx8
76561198955323108	-1.6	0.91	7.0	Denizo
76561198257661206	-1.71	0.83	11.0	^5Air^7Grue
76561198257341793	-1.85	0.85	8.0	^1Se×i^7pÏpÏ
76561198028213498	-1.96	0.77	11.0	JohnHyper
