steam_id	aWin	SE	games	alias
76561198837314284	-0.31	0.75	10.0	^5faye   ●^7
76561198825068298	-0.31	0.76	10.0	ari
76561197981535721	-0.32	0.83	2.0	NeOnLeMoN
76561198086315854	-0.32	0.73	11.0	siggma
76561198257357451	-0.33	0.31	61.0	modul1c
76561198046437430	-0.33	0.71	12.0	corvu
76561198286173236	-0.33	0.32	59.0	derzkaya
76561198025846557	-0.33	0.48	35.0	ridgewater
76561199175715250	-0.34	0.81	9.0	syrius
76561198994704226	-0.35	0.25	139.0	thomassonvaldemar
76561197999091423	-0.35	0.72	11.0	ARES
76561198036206965	-0.35	1.36	3.0	octaveq
76561197960624184	-0.36	1.51	3.0	[*RCTM*].Youen
76561198261482853	-0.36	1.7	2.0	deflax
76561198257169571	-0.37	0.69	12.0	Adio
76561198218623992	-0.37	0.79	9.0	Xarthez
76561198211489571	-0.37	0.76	10.0	devknof
76561198050090833	-0.38	1.0	8.0	oi
76561198257368839	-0.39	1.24	4.0	lollo2mygod
76561198166974810	-0.4	0.16	342.0	x40
76561197995300975	-0.4	0.63	15.0	MusHRooM
76561198080608892	-0.41	0.3	72.0	Mannox
76561198964102618	-0.41	2.41	2.0	^4michal^7
76561199047888807	-0.41	0.21	281.0	vcxyvcxy2
76561198261027858	-0.44	1.38	3.0	xcarstenx
76561198298756066	-0.45	1.01	6.0	VaNeK
76561198256040915	-0.45	0.37	45.0	Tudermaci
76561198045773077	-0.45	1.36	3.0	Commander Pasta
76561198013811463	-0.46	1.08	5.0	Kekpin
76561198028526896	-0.47	1.06	5.0	^5T^7rilo
76561199017957023	-0.48	1.14	5.0	optimist
76561198120003322	-0.49	1.0	6.0	JunkZ
76561198166316166	-0.49	0.31	75.0	Rade
76561197980728727	-0.5	1.36	3.0	^3[▲] ^1Red^3bird^171^7
76561198049908474	-0.52	0.3	80.0	cB Duffi
76561198155477003	-0.53	0.28	124.0	NADE^2MAFIA ^5MaJiN^7loves^6Madi^7
76561198072509717	-0.53	1.11	5.0	GOOGL3
76561198257762228	-0.55	0.91	7.0	^6H^7ojo^6M^7e
76561198355413498	-0.55	0.76	10.0	thylmanoid
76561198155425701	-0.58	0.6	17.0	Rainbow_Crab
76561198258352053	-0.6	0.27	114.0	l0l04
76561198257341793	-0.6	1.18	4.0	^1Se×i^7pÏpÏ
76561198050167011	-0.6	1.18	4.0	Der Kommunist
76561198257661206	-0.63	0.91	7.0	^5Air^7Grue
76561198240378464	-0.64	0.46	28.0	siXsiXsix
76561198030450818	-0.69	0.76	11.0	crazy-lazy
76561198161961071	-0.74	0.98	6.0	andrasrx8
76561198955323108	-0.76	0.93	7.0	Denizo
76561198121842688	-0.89	0.44	30.0	^1t^3oñ^2o^7
76561198028213498	-0.9	0.78	11.0	JohnHyper
76561198256505513	-0.97	0.47	28.0	^4Sla^7Y^4eR^7
